work_id,state,mp_name,work_category,work_description,cost_estimate,implementing_agency,sanction_date,completion_days,payment_released_pct,status,is_synthetic_anomaly,anomaly_type,cost_ratio,completion_days_filled,completion_speed_ratio,vendor_concentration,expected_payment,payment_mismatch,iso_flag,iso_score,lof_flag,lof_score,risk_level,risk_score
W000001,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Road construction,Road construction at Kishanganj ward 4,1998528.38,Kaul PLC Works Dept,2024-01-07,122.0,0.985,Completed,False,,0.7997300668240712,122.0,0.6853932584269663,0.6527777777777777,1.0,-0.015000000000000013,1,-0.07850957011730808,1,1.0636832133968546,Low,67.7
W000002,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Drinking water supply,Drinking water supply at Bongaigaon ward 3,1178392.73,Kapoor and Sons Works Dept,2024-11-25,168.0,0.88,Completed,False,,1.3219817620586425,168.0,0.9438202247191011,1.3055555555555554,1.0,-0.12,1,-0.13088562584103663,1,0.9790463908630895,Low,7.3
W000003,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Community hall construction,Community hall construction at Muzaffarnagar ward 7,2202083.88,Kaul PLC Works Dept,2024-08-30,214.0,0.747,Completed,False,,0.5694907643081819,214.0,1.202247191011236,0.6527777777777777,1.0,-0.253,1,-0.05869784609007195,1,1.1140399400584604,Low,81.7
W000004,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Health sub-centre upgrade,Health sub-centre upgrade at Giridih ward 1,739400.67,Kapoor and Sons Works Dept,2023-11-12,,0.96,In Progress,False,,0.40051192354170395,178.0,1.0,1.3055555555555554,0.5,0.45999999999999996,1,-0.1080340977072547,1,1.067821551241471,Low,54.0
W000005,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Health sub-centre upgrade,Health sub-centre upgrade at Chennai ward 11,12631483.076060105,"Choudhury, Bakshi and Maharaj Works Dept",2024-03-14,131.0,0.912,Completed,True,cost_inflation,6.842108466005734,131.0,0.7359550561797753,0.4351851851851851,1.0,-0.08799999999999997,-1,0.1780643858032458,1,0.9971388275901475,Medium,61.2
W000006,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Drinking water supply,Drinking water supply at Bhusawal ward 12,324701.39,Kaul PLC Works Dept,2024-04-24,84.0,0.991,Completed,False,,0.36426677182155603,84.0,0.47191011235955055,0.6527777777777777,1.0,-0.009000000000000008,1,-0.027019145819912715,1,1.0546521690784778,Low,80.1
W000007,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Street lighting,Street lighting at Alwar ward 4,691087.72,Balan Inc Works Dept,2023-05-15,246.0,0.764,Completed,False,,1.5269687221048724,246.0,1.3820224719101124,1.523148148148148,1.0,-0.236,1,-0.07463379274956139,1,1.0296458767052512,Low,59.3
W000008,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Drinking water supply,Drinking water supply at Thrissur ward 20,518189.96,"Chaudry, Chahal and Sami Works Dept",2024-10-17,,0.755,In Progress,False,,0.5813322324229695,178.0,1.0,0.8703703703703702,0.5,0.255,1,-0.13156317483872115,1,0.9693833795533255,Low,5.0
W000009,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Playground development,Playground development at Kota ward 8,825939.14,"Chaudry, Chahal and Sami Works Dept",2023-10-14,240.0,0.857,Completed,False,,0.7428519348012693,240.0,1.348314606741573,0.8703703703703702,1.0,-0.14300000000000002,1,-0.11166442373525531,1,0.9872676331570354,Low,18.8
W000010,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Drinking water supply,Drinking water supply at Nadiad ward 9,818334.02,Balan Inc Works Dept,2023-11-25,281.0,0.787,Completed,False,,0.9180493244490167,281.0,1.5786516853932584,1.523148148148148,1.0,-0.21299999999999997,1,-0.09663499112324947,1,0.9934247568225357,Low,29.6
